track_id,type_position,type,position,upper_lower,event_start_s,event_end_s,noisy,fold_conf_1,fold_conf_2,fold_conf_3,fold_conf_4,fold_conf_5,fold_conf_6
42,MB-S4A-R5E,MB,S4A-R5E,lower,1.54,1.93,0,3,test,3,3,3,3
43,MB-S4A-R5E,MB,S4A-R5E,lower,2.12,2.6,0,4,test,4,4,4,4
44,MB-S4A-R5E,MB,S4A-R5E,lower,2.44,2.84,0,5,test,5,5,5,5
45,MB-S4A-R5E,MB,S4A-R5E,lower,2.1,2.51,0,1,test,1,1,1,1
46,MB-S4A-R5E,MB,S4A-R5E,lower,1.97,2.43,0,2,test,2,2,2,2
47,MB-S4A-R5E,MB,S4A-R5E,lower,2.03,2.41,0,3,test,3,3,3,3
48,MB-S4A-R5E,MB,S4A-R5E,lower,2,2.5,0,4,test,4,4,4,4
49,MB-S4A-R5E,MB,S4A-R5E,lower,1.9,2.4,0,5,test,5,5,5,5
50,MB-S4A-R5E,MB,S4A-R5E,lower,2.42,2.9,0,1,test,1,1,1,1
51,MB-S4A-R5E,MB,S4A-R5E,lower,1.85,2.31,0,2,test,2,2,2,2
52,MB-S4A-R5E,MB,S4A-R5E,lower,1.85,2.23,0,3,test,3,3,3,3
53,MB-S4A-R5E,MB,S4A-R5E,lower,1.95,2.43,0,4,test,4,4,4,4
54,MB-S4A-R5E,MB,S4A-R5E,lower,1.91,2.4,0,5,test,5,5,5,5
55,MB-S4A-R5E,MB,S4A-R5E,lower,2.28,2.7,0,1,test,1,1,1,1
56,MB-S4A-R5E,MB,S4A-R5E,lower,2.1,2.51,0,2,test,2,2,2,2
57,MB-S4A-R5E,MB,S4A-R5E,lower,1.87,2.31,0,3,test,3,3,3,3
58,MB-S4A-R5E,MB,S4A-R5E,lower,2.2,2.62,0,4,test,4,4,4,4
59,MB-S4A-R5E,MB,S4A-R5E,lower,2.12,2.65,0,5,test,5,5,5,5
1000,HD-S4A-R5E,HD,S4A-R5E,lower,2.22,2.84,0,1,test,1,1,1,1
1001,HD-S4A-R5E,HD,S4A-R5E,lower,2.3,2.82,0,2,test,2,2,2,2
1002,HD-S4A-R5E,HD,S4A-R5E,lower,1.23,1.83,1,3,test,3,3,3,3
1003,HD-S4A-R5E,HD,S4A-R5E,lower,2.35,2.98,0,4,test,4,4,4,4
1004,HD-S4A-R5E,HD,S4A-R5E,lower,2.21,2.8,0,5,test,5,5,5,5
1005,HD-S4A-R5E,HD,S4A-R5E,lower,2.04,2.47,0,1,test,1,1,1,1
1006,HD-S4A-R5E,HD,S4A-R5E,lower,2.16,2.6,0,2,test,2,2,2,2
1007,HD-S4A-R5E,HD,S4A-R5E,lower,2.77,3.4,0,3,test,3,3,3,3
1008,HD-S4A-R5E,HD,S4A-R5E,lower,1.55,2,0,4,test,4,4,4,4
1009,HD-S4A-R5E,HD,S4A-R5E,lower,2.04,2.5,0,5,test,5,5,5,5
1010,HD-S4A-R5E,HD,S4A-R5E,lower,2.69,3.21,0,1,test,1,1,1,1
1011,HD-S4A-R5E,HD,S4A-R5E,lower,1.74,2.29,0,2,test,2,2,2,2
1012,HD-S4A-R5E,HD,S4A-R5E,lower,2.29,2.8,0,3,test,3,3,3,3
1013,HD-S4A-R5E,HD,S4A-R5E,lower,2.36,2.9,1,4,test,4,4,4,4
1014,HD-S4A-R5E,HD,S4A-R5E,lower,1.69,2.16,0,5,test,5,5,5,5
1015,HD-S4A-R5E,HD,S4A-R5E,lower,2.01,2.47,0,1,test,1,1,1,1
1016,HD-S4A-R5E,HD,S4A-R5E,lower,2.24,2.72,0,2,test,2,2,2,2
1017,HD-S4A-R5E,HD,S4A-R5E,lower,1.8,2.39,1,3,test,3,3,3,3
1018,HD-S4A-R5E,HD,S4A-R5E,lower,2.41,2.94,0,4,test,4,4,4,4
1019,HD-S4A-R5E,HD,S4A-R5E,lower,2.1,2.79,0,5,test,5,5,5,5
1020,HD-S4A-R5E,HD,S4A-R5E,lower,2.01,2.66,1,1,test,1,1,1,1
1021,HD-S4A-R5E,HD,S4A-R5E,lower,1.83,2.51,0,2,test,2,2,2,2
1022,HD-S4A-R5E,HD,S4A-R5E,lower,1.74,2.42,0,3,test,3,3,3,3
1023,HD-S4A-R5E,HD,S4A-R5E,lower,2.16,2.69,0,4,test,4,4,4,4
1024,HD-S4A-R5E,HD,S4A-R5E,lower,2.47,3.09,0,5,test,5,5,5,5
1025,HD-S4A-R5E,HD,S4A-R5E,lower,2.17,2.82,0,1,test,1,1,1,1
1026,HD-S4A-R5E,HD,S4A-R5E,lower,2.05,2.58,0,2,test,2,2,2,2
1027,HD-S4A-R5E,HD,S4A-R5E,lower,2,2.51,0,3,test,3,3,3,3
1028,HD-S4A-R5E,HD,S4A-R5E,lower,1.96,2.48,0,4,test,4,4,4,4
1029,HD-S4A-R5E,HD,S4A-R5E,lower,1.9,2.46,0,5,test,5,5,5,5
1030,HD-S4A-R5E,HD,S4A-R5E,lower,2.07,2.54,0,1,test,1,1,1,1
1031,HD-S4A-R5E,HD,S4A-R5E,lower,3.29,3.87,1,2,test,2,2,2,2
1032,HD-S4A-R5E,HD,S4A-R5E,lower,2.31,2.9,0,3,test,3,3,3,3
1033,HD-S4A-R5E,HD,S4A-R5E,lower,1.78,2.31,0,4,test,4,4,4,4
1034,HD-S4A-R5E,HD,S4A-R5E,lower,1.68,2.39,1,5,test,5,5,5,5
1035,HD-S4A-R5E,HD,S4A-R5E,lower,2.27,2.83,0,1,test,1,1,1,1
1036,HD-S4A-R5E,HD,S4A-R5E,lower,2.35,3.19,0,2,test,2,2,2,2
1037,HD-S4A-R5E,HD,S4A-R5E,lower,2.18,2.74,0,3,test,3,3,3,3
1038,HD-S4A-R5E,HD,S4A-R5E,lower,1.95,2.5,0,4,test,4,4,4,4
1039,HD-S4A-R5E,HD,S4A-R5E,lower,2.09,2.61,0,5,test,5,5,5,5
1040,HD-S4A-R5E,HD,S4A-R5E,lower,2.11,2.68,0,1,test,1,1,1,1
1041,HD-S4A-R5E,HD,S4A-R5E,lower,2.49,3.1,0,2,test,2,2,2,2
1042,HD-S4A-R5E,HD,S4A-R5E,lower,1.93,2.4,0,3,test,3,3,3,3
1043,HD-S4A-R5E,HD,S4A-R5E,lower,1.7,2.31,0,4,test,4,4,4,4
1044,HD-S4A-R5E,HD,S4A-R5E,lower,2.17,2.79,1,5,test,5,5,5,5
1045,HD-S4A-R5E,HD,S4A-R5E,lower,2.04,2.6,0,1,test,1,1,1,1
1046,HD-S4A-R5E,HD,S4A-R5E,lower,2.77,3.3,0,2,test,2,2,2,2
1047,HD-S4A-R5E,HD,S4A-R5E,lower,2.17,2.72,0,3,test,3,3,3,3
1048,HD-S4A-R5E,HD,S4A-R5E,lower,1.5,2.09,0,4,test,4,4,4,4
1049,HD-S4A-R5E,HD,S4A-R5E,lower,2.32,2.91,0,5,test,5,5,5,5
1050,HD-S4A-R5E,HD,S4A-R5E,lower,2.32,2.88,0,1,test,1,1,1,1
1051,HD-S4A-R5E,HD,S4A-R5E,lower,1.97,2.57,0,2,test,2,2,2,2
1052,HD-S4A-R5E,HD,S4A-R5E,lower,1.78,2.4,1,3,test,3,3,3,3
1053,HD-S4A-R5E,HD,S4A-R5E,lower,2.12,2.7,0,4,test,4,4,4,4
1054,HD-S4A-R5E,HD,S4A-R5E,lower,2.15,2.71,0,5,test,5,5,5,5
1055,HD-S4A-R5E,HD,S4A-R5E,lower,1.9,2.4,0,1,test,1,1,1,1
1056,HD-S4A-R5E,HD,S4A-R5E,lower,2.01,2.64,0,2,test,2,2,2,2
1057,HD-S4A-R5E,HD,S4A-R5E,lower,2.07,2.55,0,3,test,3,3,3,3
1058,HD-S4A-R5E,HD,S4A-R5E,lower,1.53,2.2,0,4,test,4,4,4,4
1059,HD-S4A-R5E,HD,S4A-R5E,lower,1.95,2.51,0,5,test,5,5,5,5
2000,HH-S4A-R5E,HH,S4A-R5E,lower,1.96,2.25,0,1,test,1,1,1,1
2001,HH-S4A-R5E,HH,S4A-R5E,lower,1.62,2,0,2,test,2,2,2,2
2002,HH-S4A-R5E,HH,S4A-R5E,lower,1.68,2,0,3,test,3,3,3,3
2003,HH-S4A-R5E,HH,S4A-R5E,lower,1.4,1.79,0,4,test,4,4,4,4
2004,HH-S4A-R5E,HH,S4A-R5E,lower,1.1,1.4,0,5,test,5,5,5,5
2005,HH-S4A-R5E,HH,S4A-R5E,lower,1.72,2.11,0,1,test,1,1,1,1
2006,HH-S4A-R5E,HH,S4A-R5E,lower,1.54,1.95,0,2,test,2,2,2,2
2007,HH-S4A-R5E,HH,S4A-R5E,lower,2,2.4,0,3,test,3,3,3,3
2008,HH-S4A-R5E,HH,S4A-R5E,lower,1.95,2.34,0,4,test,4,4,4,4
2009,HH-S4A-R5E,HH,S4A-R5E,lower,1.51,1.82,0,5,test,5,5,5,5
2010,HH-S4A-R5E,HH,S4A-R5E,lower,1.74,2.16,0,1,test,1,1,1,1
2011,HH-S4A-R5E,HH,S4A-R5E,lower,1.75,2.18,0,2,test,2,2,2,2
2012,HH-S4A-R5E,HH,S4A-R5E,lower,1.3,1.59,0,3,test,3,3,3,3
2013,HH-S4A-R5E,HH,S4A-R5E,lower,1.78,2.18,0,4,test,4,4,4,4
2014,HH-S4A-R5E,HH,S4A-R5E,lower,1.7,2.13,0,5,test,5,5,5,5
2015,HH-S4A-R5E,HH,S4A-R5E,lower,1.75,2.14,0,1,test,1,1,1,1
2016,HH-S4A-R5E,HH,S4A-R5E,lower,1.26,1.68,0,2,test,2,2,2,2
2017,HH-S4A-R5E,HH,S4A-R5E,lower,1.49,1.9,0,3,test,3,3,3,3
2018,HH-S4A-R5E,HH,S4A-R5E,lower,1.81,2.18,0,4,test,4,4,4,4
2019,HH-S4A-R5E,HH,S4A-R5E,lower,1.76,2.18,0,5,test,5,5,5,5
2020,HH-S4A-R5E,HH,S4A-R5E,lower,1.85,2.25,0,1,test,1,1,1,1
2021,HH-S4A-R5E,HH,S4A-R5E,lower,1.88,2.26,0,2,test,2,2,2,2
2022,HH-S4A-R5E,HH,S4A-R5E,lower,1.89,2.28,0,3,test,3,3,3,3
2023,HH-S4A-R5E,HH,S4A-R5E,lower,1.72,2.12,0,4,test,4,4,4,4
2024,HH-S4A-R5E,HH,S4A-R5E,lower,1.65,2.04,0,5,test,5,5,5,5
2025,HH-S4A-R5E,HH,S4A-R5E,lower,1.3,2.15,1,1,test,1,1,1,1
2026,HH-S4A-R5E,HH,S4A-R5E,lower,1.6,1.89,0,2,test,2,2,2,2
2027,HH-S4A-R5E,HH,S4A-R5E,lower,1.43,1.74,0,3,test,3,3,3,3
2028,HH-S4A-R5E,HH,S4A-R5E,lower,1.96,2.35,0,4,test,4,4,4,4
2029,HH-S4A-R5E,HH,S4A-R5E,lower,1.9,2.28,0,5,test,5,5,5,5
2030,HH-S4A-R5E,HH,S4A-R5E,lower,1.77,2.08,0,1,test,1,1,1,1
2031,HH-S4A-R5E,HH,S4A-R5E,lower,1.83,2.1,0,2,test,2,2,2,2
2032,HH-S4A-R5E,HH,S4A-R5E,lower,2.08,2.45,0,3,test,3,3,3,3
2033,HH-S4A-R5E,HH,S4A-R5E,lower,1.75,2.06,0,4,test,4,4,4,4
2034,HH-S4A-R5E,HH,S4A-R5E,lower,1.33,1.68,0,5,test,5,5,5,5
2035,HH-S4A-R5E,HH,S4A-R5E,lower,1.91,2.3,0,1,test,1,1,1,1
2036,HH-S4A-R5E,HH,S4A-R5E,lower,1.56,1.89,0,2,test,2,2,2,2
2037,HH-S4A-R5E,HH,S4A-R5E,lower,1.56,1.96,0,3,test,3,3,3,3
2038,HH-S4A-R5E,HH,S4A-R5E,lower,2.17,2.55,0,4,test,4,4,4,4
2039,HH-S4A-R5E,HH,S4A-R5E,lower,1.76,2.35,1,5,test,5,5,5,5
2040,HH-S4A-R5E,HH,S4A-R5E,lower,1.66,2.07,1,1,test,1,1,1,1
2041,HH-S4A-R5E,HH,S4A-R5E,lower,1.46,1.9,0,2,test,2,2,2,2
2042,HH-S4A-R5E,HH,S4A-R5E,lower,1.4,1.82,0,3,test,3,3,3,3
2043,HH-S4A-R5E,HH,S4A-R5E,lower,1.84,2.19,0,4,test,4,4,4,4
2044,HH-S4A-R5E,HH,S4A-R5E,lower,1.7,2.04,0,5,test,5,5,5,5
2045,HH-S4A-R5E,HH,S4A-R5E,lower,1.57,1.96,0,1,test,1,1,1,1
2046,HH-S4A-R5E,HH,S4A-R5E,lower,1.81,2.22,0,2,test,2,2,2,2
2047,HH-S4A-R5E,HH,S4A-R5E,lower,1.65,1.98,0,3,test,3,3,3,3
2048,HH-S4A-R5E,HH,S4A-R5E,lower,1.49,1.9,0,4,test,4,4,4,4
2049,HH-S4A-R5E,HH,S4A-R5E,lower,1.3,1.7,0,5,test,5,5,5,5
2050,HH-S4A-R5E,HH,S4A-R5E,lower,1.8,2.3,1,1,test,1,1,1,1
2051,HH-S4A-R5E,HH,S4A-R5E,lower,1.84,2.23,0,2,test,2,2,2,2
2052,HH-S4A-R5E,HH,S4A-R5E,lower,1.7,2,0,3,test,3,3,3,3
2053,HH-S4A-R5E,HH,S4A-R5E,lower,1.61,2.1,0,4,test,4,4,4,4
2054,HH-S4A-R5E,HH,S4A-R5E,lower,1.96,2.33,0,5,test,5,5,5,5
2055,HH-S4A-R5E,HH,S4A-R5E,lower,2.22,2.62,0,1,test,1,1,1,1
2056,HH-S4A-R5E,HH,S4A-R5E,lower,1.72,2.14,0,2,test,2,2,2,2
2057,HH-S4A-R5E,HH,S4A-R5E,lower,1.49,1.8,0,3,test,3,3,3,3
2058,HH-S4A-R5E,HH,S4A-R5E,lower,1.75,2.12,0,4,test,4,4,4,4
2059,HH-S4A-R5E,HH,S4A-R5E,lower,1.76,2.16,0,5,test,5,5,5,5
3000,CD-S4A-R5E,CD,S4A-R5E,lower,1.26,3.8,0,1,test,1,1,1,1
3001,CD-S4A-R5E,CD,S4A-R5E,lower,1.29,3.6,0,2,test,2,2,2,2
3002,CD-S4A-R5E,CD,S4A-R5E,lower,1.58,3.8,0,3,test,3,3,3,3
3003,CD-S4A-R5E,CD,S4A-R5E,lower,1.32,3.44,0,4,test,4,4,4,4
3004,CD-S4A-R5E,CD,S4A-R5E,lower,1.47,3.32,0,5,test,5,5,5,5
3005,CD-S4A-R5E,CD,S4A-R5E,lower,1.64,3.96,1,1,test,1,1,1,1
3006,CD-S4A-R5E,CD,S4A-R5E,lower,0.73,3,1,2,test,2,2,2,2
3007,CD-S4A-R5E,CD,S4A-R5E,lower,0.9,3.7,1,3,test,3,3,3,3
3008,CD-S4A-R5E,CD,S4A-R5E,lower,1.63,3.36,1,4,test,4,4,4,4
3009,CD-S4A-R5E,CD,S4A-R5E,lower,1.33,3.25,0,5,test,5,5,5,5
3010,CD-S4A-R5E,CD,S4A-R5E,lower,1,2.95,0,1,test,1,1,1,1
3011,CD-S4A-R5E,CD,S4A-R5E,lower,1.6,3.7,0,2,test,2,2,2,2
3012,CD-S4A-R5E,CD,S4A-R5E,lower,1.4,3.3,0,3,test,3,3,3,3
3013,CD-S4A-R5E,CD,S4A-R5E,lower,1.02,3.35,0,4,test,4,4,4,4
3014,CD-S4A-R5E,CD,S4A-R5E,lower,0.8,3.05,0,5,test,5,5,5,5
3015,CD-S4A-R5E,CD,S4A-R5E,lower,1.73,4.2,0,1,test,1,1,1,1
3016,CD-S4A-R5E,CD,S4A-R5E,lower,1.68,3.8,0,2,test,2,2,2,2
3017,CD-S4A-R5E,CD,S4A-R5E,lower,1.58,3.5,0,3,test,3,3,3,3
3018,CD-S4A-R5E,CD,S4A-R5E,lower,0.8,5.6,0,4,test,4,4,4,4
3019,CD-S4A-R5E,CD,S4A-R5E,lower,1.88,3.7,0,5,test,5,5,5,5
3020,CD-S4A-R5E,CD,S4A-R5E,lower,1.5,3.39,0,1,test,1,1,1,1
3021,CD-S4A-R5E,CD,S4A-R5E,lower,1.43,4,0,2,test,2,2,2,2
3022,CD-S4A-R5E,CD,S4A-R5E,lower,0.84,3.25,0,3,test,3,3,3,3
3023,CD-S4A-R5E,CD,S4A-R5E,lower,0.8,3.35,0,4,test,4,4,4,4
3024,CD-S4A-R5E,CD,S4A-R5E,lower,0.6,2.7,0,5,test,5,5,5,5
3025,CD-S4A-R5E,CD,S4A-R5E,lower,5.9,7.1,0,1,test,1,1,1,1
3026,CD-S4A-R5E,CD,S4A-R5E,lower,1.4,4.08,0,2,test,2,2,2,2
3027,CD-S4A-R5E,CD,S4A-R5E,lower,0.82,3.57,0,3,test,3,3,3,3
3028,CD-S4A-R5E,CD,S4A-R5E,lower,1.6,3.6,0,4,test,4,4,4,4
3029,CD-S4A-R5E,CD,S4A-R5E,lower,1.3,3.27,0,5,test,5,5,5,5
3030,CD-S4A-R5E,CD,S4A-R5E,lower,1.47,3.44,0,1,test,1,1,1,1
3031,CD-S4A-R5E,CD,S4A-R5E,lower,1.26,3.8,0,2,test,2,2,2,2
3032,CD-S4A-R5E,CD,S4A-R5E,lower,1.1,3.44,0,3,test,3,3,3,3
3033,CD-S4A-R5E,CD,S4A-R5E,lower,2.2,4.43,0,4,test,4,4,4,4
3034,CD-S4A-R5E,CD,S4A-R5E,lower,0.7,3,0,5,test,5,5,5,5
3035,CD-S4A-R5E,CD,S4A-R5E,lower,1.9,5.07,0,1,test,1,1,1,1
3036,CD-S4A-R5E,CD,S4A-R5E,lower,1.3,3.7,1,2,test,2,2,2,2
3037,CD-S4A-R5E,CD,S4A-R5E,lower,0.78,2.81,0,3,test,3,3,3,3
3038,CD-S4A-R5E,CD,S4A-R5E,lower,1.83,3.62,0,4,test,4,4,4,4
3039,CD-S4A-R5E,CD,S4A-R5E,lower,1.5,3.04,0,5,test,5,5,5,5
3040,CD-S4A-R5E,CD,S4A-R5E,lower,1.48,3.42,0,1,test,1,1,1,1
3041,CD-S4A-R5E,CD,S4A-R5E,lower,1.34,3.68,0,2,test,2,2,2,2
3042,CD-S4A-R5E,CD,S4A-R5E,lower,1,4.35,0,3,test,3,3,3,3
3043,CD-S4A-R5E,CD,S4A-R5E,lower,2,4.5,0,4,test,4,4,4,4
3044,CD-S4A-R5E,CD,S4A-R5E,lower,1.32,3.57,0,5,test,5,5,5,5
3045,CD-S4A-R5E,CD,S4A-R5E,lower,1.9,3.75,0,1,test,1,1,1,1
3046,CD-S4A-R5E,CD,S4A-R5E,lower,1.55,3.18,0,2,test,2,2,2,2
3047,CD-S4A-R5E,CD,S4A-R5E,lower,1.18,3.13,1,3,test,3,3,3,3
3048,CD-S4A-R5E,CD,S4A-R5E,lower,1.16,3.34,0,4,test,4,4,4,4
3049,CD-S4A-R5E,CD,S4A-R5E,lower,0.96,3.8,0,5,test,5,5,5,5
3050,CD-S4A-R5E,CD,S4A-R5E,lower,1.38,3.53,0,1,test,1,1,1,1
3051,CD-S4A-R5E,CD,S4A-R5E,lower,1.54,3.68,0,2,test,2,2,2,2
3052,CD-S4A-R5E,CD,S4A-R5E,lower,1.05,3,0,3,test,3,3,3,3
3053,CD-S4A-R5E,CD,S4A-R5E,lower,2.16,4,0,4,test,4,4,4,4
3054,CD-S4A-R5E,CD,S4A-R5E,lower,1.29,2.64,0,5,test,5,5,5,5
3055,CD-S4A-R5E,CD,S4A-R5E,lower,1.44,3.45,0,1,test,1,1,1,1
3056,CD-S4A-R5E,CD,S4A-R5E,lower,1.6,3.64,0,2,test,2,2,2,2
3057,CD-S4A-R5E,CD,S4A-R5E,lower,1.87,4,0,3,test,3,3,3,3
3058,CD-S4A-R5E,CD,S4A-R5E,lower,1.06,2.85,0,4,test,4,4,4,4
3059,CD-S4A-R5E,CD,S4A-R5E,lower,1.81,3.81,0,5,test,5,5,5,5
4000,MB-S4B-R5E,MB,S4B-R5E,lower,2.07,2.45,1,1,1,test,1,1,1
4001,MB-S4B-R5E,MB,S4B-R5E,lower,2.67,3.05,0,2,2,test,2,2,2
4002,MB-S4B-R5E,MB,S4B-R5E,lower,2.1,2.45,0,3,3,test,3,3,3
4003,MB-S4B-R5E,MB,S4B-R5E,lower,2.17,2.55,0,4,4,test,4,4,4
4004,MB-S4B-R5E,MB,S4B-R5E,lower,2.57,2.95,0,5,5,test,5,5,5
4005,MB-S4B-R5E,MB,S4B-R5E,lower,2.52,2.9,0,1,1,test,1,1,1
4006,MB-S4B-R5E,MB,S4B-R5E,lower,2.36,2.76,0,2,2,test,2,2,2
4007,MB-S4B-R5E,MB,S4B-R5E,lower,2.22,2.61,0,3,3,test,3,3,3
4008,MB-S4B-R5E,MB,S4B-R5E,lower,2.79,3.21,0,4,4,test,4,4,4
4009,MB-S4B-R5E,MB,S4B-R5E,lower,2.06,2.44,0,5,5,test,5,5,5
4010,MB-S4B-R5E,MB,S4B-R5E,lower,2.53,2.9,0,1,1,test,1,1,1
4011,MB-S4B-R5E,MB,S4B-R5E,lower,2.3,2.65,0,2,2,test,2,2,2
4012,MB-S4B-R5E,MB,S4B-R5E,lower,2.64,3.03,1,3,3,test,3,3,3
4013,MB-S4B-R5E,MB,S4B-R5E,lower,2.54,2.92,0,4,4,test,4,4,4
4014,MB-S4B-R5E,MB,S4B-R5E,lower,2.15,2.51,0,5,5,test,5,5,5
4015,MB-S4B-R5E,MB,S4B-R5E,lower,2.54,2.92,1,1,1,test,1,1,1
4016,MB-S4B-R5E,MB,S4B-R5E,lower,2.76,3.15,1,2,2,test,2,2,2
4017,MB-S4B-R5E,MB,S4B-R5E,lower,2.23,2.61,0,3,3,test,3,3,3
4018,MB-S4B-R5E,MB,S4B-R5E,lower,2.34,2.74,0,4,4,test,4,4,4
4019,MB-S4B-R5E,MB,S4B-R5E,lower,2.85,3.3,0,5,5,test,5,5,5
4020,MB-S4B-R5E,MB,S4B-R5E,lower,2.41,2.8,0,1,1,test,1,1,1
4021,MB-S4B-R5E,MB,S4B-R5E,lower,2.6,3,0,2,2,test,2,2,2
4022,MB-S4B-R5E,MB,S4B-R5E,lower,2,2.4,0,3,3,test,3,3,3
4023,MB-S4B-R5E,MB,S4B-R5E,lower,2.6,3,1,4,4,test,4,4,4
4024,MB-S4B-R5E,MB,S4B-R5E,lower,2.28,2.66,1,5,5,test,5,5,5
4025,MB-S4B-R5E,MB,S4B-R5E,lower,2.3,2.71,0,1,1,test,1,1,1
4026,MB-S4B-R5E,MB,S4B-R5E,lower,1.97,2.35,0,2,2,test,2,2,2
4027,MB-S4B-R5E,MB,S4B-R5E,lower,2.2,2.6,0,3,3,test,3,3,3
4028,MB-S4B-R5E,MB,S4B-R5E,lower,1.26,1.65,1,4,4,test,4,4,4
4029,MB-S4B-R5E,MB,S4B-R5E,lower,2.21,2.61,0,5,5,test,5,5,5
4030,MB-S4B-R5E,MB,S4B-R5E,lower,2.4,2.94,0,1,1,test,1,1,1
4031,MB-S4B-R5E,MB,S4B-R5E,lower,1.78,2.2,0,2,2,test,2,2,2
4032,MB-S4B-R5E,MB,S4B-R5E,lower,2.71,3.1,0,3,3,test,3,3,3
4033,MB-S4B-R5E,MB,S4B-R5E,lower,1.74,2.13,0,4,4,test,4,4,4
4034,MB-S4B-R5E,MB,S4B-R5E,lower,2.44,2.82,0,5,5,test,5,5,5
4035,MB-S4B-R5E,MB,S4B-R5E,lower,2.1,2.5,0,1,1,test,1,1,1
4036,MB-S4B-R5E,MB,S4B-R5E,lower,2.15,2.53,0,2,2,test,2,2,2
4037,MB-S4B-R5E,MB,S4B-R5E,lower,1.76,2.16,0,3,3,test,3,3,3
