,track-id,building,type,position,type-position,x-pos,y-pos,z-pos,floor,noisy,event-start-s,event-end-s
68,A-001018.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.26,2.58
69,A-001019.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.17,2.49
70,A-001020.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.95,2.26
71,A-001021.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.04,2.43
72,A-001022.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.09,2.45
73,A-001023.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.13,2.44
74,A-001024.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.14,2.47
75,A-001025.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.11,2.43
76,A-001026.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.14,2.47
77,A-001027.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.3,2.62
78,A-001028.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2,2.36
79,A-001029.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.17,2.53
80,A-001030.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.17,2.5
81,A-001031.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.19,2.55
82,A-001032.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.3,2.64
83,A-001033.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.28,2.66
84,A-001034.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.23,2.59
85,A-001035.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.12,2.46
86,A-001036.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.26,2.61
87,A-001037.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.74,2.04
88,A-001038.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.14,2.49
89,A-001039.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.1,2.47
90,A-001040.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.08,2.43
91,A-001041.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.09,2.39
92,A-001042.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.12,2.47
93,A-001043.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.08,2.41
94,A-001044.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.15,2.48
95,A-001045.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.93,2.33
96,A-001046.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.72,2.08
97,A-001047.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.88,2.32
98,A-001048.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.11,2.45
99,A-001049.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.92,2.28
100,A-002000.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.96,2.36
101,A-002001.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.14,2.48
102,A-002002.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.12,2.49
103,A-002003.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.83,2.18
104,A-002004.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.09,2.5
105,A-002005.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.78,2.145
106,A-002006.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.14,2.4
107,A-002007.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.13,2.5
108,A-002008.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.13,2.39
109,A-002009.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.12,2.58
110,A-002010.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.93,2.35
111,A-002011.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.27,2.68
112,A-002012.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.69,2.17
113,A-002013.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.2,2.58
114,A-002014.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.1,2.56
115,A-002015.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.11,2.45
116,A-002016.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.05,2.38
117,A-002017.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.09,2.5
118,A-002018.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.06,2.43
119,A-002019.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.71,2.04
120,A-002020.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.9,2.4
121,A-002021.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.1,2.5
122,A-002022.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.3,2.7
123,A-002023.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.97,2.5
124,A-002024.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.8,2.1
125,A-002025.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.95,2.28
126,A-002026.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.93,2.29
127,A-002027.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.7,2.1
128,A-002028.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.6,2.2
129,A-002029.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.69,2.1
130,A-002030.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.58,1.93
131,A-002031.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.98,2.39
132,A-002032.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.7,2.06
133,A-002033.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.8,2.1
134,A-002034.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.8,2.3
135,A-002035.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.9,2.3
136,A-002036.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.9,2.3
137,A-002037.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.9,2.27
138,A-002038.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.1,2.4
139,A-002039.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.18,2.6
140,A-002040.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.1,2.5
141,A-002041.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.99,2.4
142,A-002042.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.06,2.47
143,A-002043.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.02,2.55
144,A-002044.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.11,2.6
145,A-002045.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,1.85,2.25
146,A-002046.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.07,2.48
147,A-002047.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.07,2.48
148,A-002048.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2,2.5
149,A-002049.m4a,A,MB,1F12m,MB-1F12m,12,4,-2.05,-1,0,2.04,2.37
150,A-003000.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.7,2.3
151,A-003001.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.13,2.59
152,A-003002.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.01,2.58
153,A-003003.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.08,2.66
154,A-003004.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.93,2.55
155,A-003005.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.99,2.63
156,A-003006.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.9,2.5
157,A-003007.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.88,2.42
158,A-003008.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.79,2.36
159,A-003009.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.67,2.19
160,A-003010.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.85,2.47
161,A-003011.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.71,2.31
162,A-003012.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.79,2.31
163,A-003013.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.8,2.44
164,A-003014.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.86,2.44
165,A-003015.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.02,2.74
166,A-003016.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.06,2.59
167,A-003017.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.1,2.63
168,A-003018.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.71,2.22
169,A-003019.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.87,2.4
170,A-003020.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.69,2.21
171,A-003021.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.65,2.2
172,A-003022.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.84,2.4
173,A-003023.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.72,2.2
174,A-003024.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.06,2.75
175,A-003025.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.15,2.72
176,A-003026.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.65,2.22
177,A-003027.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.73,2.18
178,A-003028.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.66,2.08
179,A-003029.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.84,2.32
180,A-003030.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.71,2.25
181,A-003031.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.45,3.06
182,A-003032.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2,2.67
183,A-003033.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.07,2.69
184,A-003034.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.91,2.46
185,A-003035.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.86,2.36
186,A-003036.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.89,2.53
187,A-003037.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.04,2.55
188,A-003038.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.84,2.4
189,A-003039.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.21,2.8
190,A-003040.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.08,2.649
191,A-003041.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.23,2.76
192,A-003042.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.1,2.64
193,A-003043.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.79,2.33
194,A-003044.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.79,2.32
195,A-003045.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.78,2.4
196,A-003046.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.18,2.81
197,A-003047.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,1.86,2.42
198,A-003048.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.13,2.71
199,A-003049.m4a,A,MB,2F00m,MB-2F00m,0,4,0,0,0,2.3,2.86
200,A-004000.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.7,2.31
201,A-004001.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.83,2.39
202,A-004002.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.94,2.46
203,A-004003.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.93,2.44
204,A-004004.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.1,2.67
205,A-004005.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2,2.63
206,A-004006.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.85,2.44
207,A-004007.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.85,2.45
208,A-004008.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.99,2.56
209,A-004009.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.845,2.37
210,A-004010.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.98,2.57
211,A-004011.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.09,2.65
212,A-004012.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.15,2.65
213,A-004013.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.16,2.76
214,A-004014.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.27,2.8
215,A-004015.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.83,2.44
216,A-004016.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.77,2.32
217,A-004017.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2,2.55
218,A-004018.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.85,2.33
219,A-004019.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.82,2.39
220,A-004020.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.95,2.43
221,A-004021.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.81,2.32
222,A-004022.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.12,2.71
223,A-004023.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.03,2.64
224,A-004024.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.97,2.66
225,A-004025.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.97,2.57
226,A-004026.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.98,2.55
227,A-004027.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.81,2.43
228,A-004028.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.04,2.7
229,A-004029.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.57,2.23
230,A-004030.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.89,2.45
231,A-004031.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.944,2.52
232,A-004032.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.09,2.78
233,A-004033.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.22,2.87
234,A-004034.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.9,2.47
235,A-004035.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.89,2.44
236,A-004036.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.96,2.644
237,A-004037.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.75,2.4
238,A-004038.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.65,2.2
239,A-004039.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.84,2.4
240,A-004040.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.87,2.43
241,A-004041.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.25,2.83
242,A-004042.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.84,2.38
243,A-004043.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.91,2.51
244,A-004044.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.87,2.45
245,A-004045.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.71,2.18
246,A-004046.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.74,2.33
247,A-004047.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,2.03,2.6
248,A-004048.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.76,2.31
249,A-004049.m4a,A,MB,2F06m,MB-2F06m,6,4,0,0,0,1.75,2.3
250,A-005000.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.09,2.62
251,A-005001.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.23,2.7
252,A-005002.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2,2.57
253,A-005003.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2,2.51
254,A-005004.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.33,2.81
255,A-005005.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.43,2.89
256,A-005006.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.81,2.28
257,A-005007.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.34,2.88
258,A-005008.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.04,2.53
259,A-005009.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.22,2.62
260,A-005010.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.24,2.79
261,A-005011.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.13,2.71
262,A-005012.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.36,2.86
263,A-005013.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.35,2.97
264,A-005014.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.62,3.12
265,A-005015.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.52,1.98
266,A-005016.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.5,2.02
267,A-005017.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.28,2.82
268,A-005018.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.1,2.54
269,A-005019.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.18,2.78
270,A-005020.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.83,2.41
271,A-005021.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.87,2.57
272,A-005022.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.13,2.6
273,A-005023.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.77,2.22
274,A-005024.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.77,3.22
275,A-005025.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.57,2.27
276,A-005026.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.74,2.37
277,A-005027.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.78,2.28
278,A-005028.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.11,2.66
279,A-005029.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.72,2.3
280,A-005030.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,1.65,2.3
281,A-005031.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2.35,2.8
282,A-005032.m4a,A,MB,2F12m,MB-2F12m,12,4,0,0,0,2,2.5
